date, pm25, pm10, o3, no2, so2, co
2019/9/17, 82, , 10, 10, 2, 
2019/9/18, 56, , 10, 10, 3, 
2019/9/19, 55, , 14, 15, 2, 
2019/9/20, 99, , 13, 18, 3, 
2019/9/21, 146, , 11, 12, 3, 
2019/9/22, 65, , 7, 16, 3, 
2019/9/23, 92, , 15, 14, 3, 
2019/9/24, 86, , 11, 10, 2, 
2019/9/25, 81, , 8, 9, 3, 
2019/9/26, 47, , 6, 11, 2, 
2019/9/27, 51, , 8, 9, 2, 
2019/9/28, 44, , 8, 9, 2, 
2019/9/29, 113, , 12, 10, 2, 
2019/9/30, 99, , 14, 13, 3, 
2019/4/1, 129, , 22, 25, 2, 18
2019/4/2, 134, , 22, 35, 4, 22
2019/4/3, 156, , 22, 34, 3, 26
2019/4/4, 161, , 24, 29, 3, 24
2019/4/5, 162, , 20, 25, 3, 21
2019/4/6, 159, , 15, 14, 2, 10
2019/4/7, 104, , 17, 21, 3, 19
2019/4/8, 132, , 17, 23, 3, 20
2019/4/9, 146, , 17, 25, 4, 22
2019/4/10, 151, , 22, 27, 2, 19
2019/4/11, 143, , 18, 28, 3, 21
2019/4/12, 157, , 20, 21, 2, 20
2019/4/13, 133, , 18, 17, 2, 16
2019/4/14, 99, , 10, 56, 4, 25
2019/4/15, 110, , 19, 21, 2, 18
2019/4/16, 124, , 28, 14, 1, 13
2019/4/17, 73, , 25, 17, 2, 16
2019/4/18, 91, , 23, 18, 4, 12
2019/4/19, 104, , 27, 24, 2, 16
2019/4/20, 146, , 27, 30, 5, 25
2019/4/21, 148, , 20, 42, 2, 28
2019/4/22, 142, , 72, 23, 4, 16
2019/4/23, 162, , 63, 19, 9, 11
2019/4/24, 157, , 53, 29, 8, 16
2019/4/25, 158, , 51, 28, 7, 12
2019/4/26, 158, , 35, 28, 7, 10
2019/4/27, 135, , 44, 26, 10, 10
2019/4/28, 144, , 46, 27, 8, 14
2019/4/29, 139, , 57, 36, 8, 15
2019/4/30, 161, , 57, 32, 9, 14
2019/5/1, 161, , 44, 25, 6, 12
2019/5/2, 161, , 43, 24, 6, 9
2019/5/3, 135, , 46, 29, 7, 11
2019/5/4, 140, , 51, 39, 7, 13
2019/5/5, 139, , 43, 38, 16, 13
2019/5/6, 142, , 40, 46, 26, 14
2019/5/7, 169, , 33, 43, 17, 16
2019/5/8, 179, , 30, 33, 9, 12
2019/5/9, 155, , 32, 32, 10, 11
2019/5/10, 144, , 39, 37, 13, 13
2019/5/11, 144, , 61, 18, 6, 8
2019/5/12, 159, , 44, 23, 14, 8
2019/5/13, 178, , 44, 24, 4, 9
2019/5/14, 116, , 55, 26, 5, 10
2019/5/15, 148, , 43, 23, 4, 7
2019/5/16, 114, , 44, 23, 5, 9
2019/5/17, 145, , 37, 16, 5, 6
2019/5/18, 107, , 58, 23, 6, 9
2019/5/19, 143, , 55, 36, 12, 16
2019/5/20, 144, , 50, 44, 11, 17
2019/5/21, 171, , 49, 31, 11, 13
2019/5/22, 145, , 53, 26, 8, 13
2019/5/23, 138, , 40, 20, 9, 7
2019/5/24, 121, , 47, 16, 5, 7
2019/5/25, 115, , 50, 30, 12, 13
2019/5/26, 122, , 51, 41, 13, 16
2019/5/27, 135, , 57, 40, 12, 15
2019/5/28, 135, , 59, 40, 11, 18
2019/5/29, 129, , 62, 46, 13, 20
2019/5/30, 153, , 54, 25, 9, 13
2019/5/31, 161, , 50, 21, 7, 13
2019/6/1, 137, , 39, 13, 6, 10
2019/6/2, 147, , 46, 12, 4, 10
2019/6/3, 111, , 49, 16, 7, 11
2019/6/4, 129, , 53, 16, 7, 12
2019/6/5, 152, , 46, 13, 6, 12
2019/6/6, 149, , 48, 15, 4, 9
2019/6/7, 91, , 52, 28, 6, 14
2019/6/8, 115, , 65, 33, 8, 15
2019/6/9, 136, , 62, 37, 9, 15
2019/6/10, 159, , 61, 21, 6, 12
2019/6/11, 139, , 34, 16, 4, 10
2019/6/12, 115, , 20, 29, 6, 18
2019/6/13, 155, , 36, 29, 13, 13
2019/6/14, 113, , 50, 36, 12, 17
2019/6/15, 147, , 35, 13, 13, 7
2019/6/16, 116, , , , , 
2019/6/19, 130, , 39, 19, 7, 9
2019/6/20, 111, , 36, 18, 3, 10
2019/6/21, 130, , 31, 16, 3, 10
2019/6/22, 111, , 14, 9, 2, 7
2019/6/23, 68, , 22, 12, 3, 11
2019/6/24, 107, , 23, 20, 3, 12
2019/6/25, 105, , 24, 26, 3, 14
2019/6/26, 99, , 38, 31, 8, 17
2019/6/27, 126, , 50, 31, 5, 15
2019/6/28, 116, , 39, 32, 10, 16
2019/6/29, 127, , 37, 20, 5, 10
2019/6/30, 127, , 28, 19, 2, 13
2019/1/1, 350, , 33, 62, 26, 25
2019/1/2, 409, , 38, 54, 5, 27
2019/1/3, 319, , 33, 46, 11, 16
2019/1/4, 347, , 35, 46, 7, 20
2019/1/5, 311, , 32, 24, 5, 19
2019/1/6, 300, , 22, 31, 4, 18
2019/1/7, 199, , 33, 34, 3, 14
2019/1/8, 201, , 36, 32, 6, 16
2019/1/9, 205, , 34, 39, 10, 12
2019/1/10, 235, , 38, 56, 12, 21
2019/1/11, 358, , 40, 56, 7, 23
2019/1/12, 373, , 40, 44, 5, 27
2019/1/13, 329, , 32, 26, 2, 13
2019/1/14, 218, , 36, 33, 12, 14
2019/1/15, 183, , 49, 57, 19, 23
2019/1/16, 317, , 39, 55, 8, 29
2019/1/17, 331, , 38, 45, 7, 25
2019/1/18, 264, , 45, 52, 15, 17
2019/1/19, 285, , 38, 57, 23, 21
2019/1/20, 328, , 42, 39, 8, 20
2019/1/21, 222, , 36, 28, 6, 21
2019/1/22, 248, , 26, 24, 4, 13
2019/1/23, 200, , 30, 34, 4, 21
2019/1/24, 195, , 12, 26, 3, 17
2019/1/25, 188, , , , , 
2019/1/29, 193, , 37, 45, 11, 12
2019/1/30, 217, , 35, 44, 6, 21
2019/1/31, 217, , 35, 37, 10, 19
2019/2/1, 204, , 36, 30, 4, 17
2019/2/2, 207, , 26, 28, 2, 18
2019/2/3, 219, , 23, 33, 3, 19
2019/2/4, 229, , 31, 50, 8, 22
2019/2/5, 278, , 18, 35, 4, 19
2019/2/6, 251, , 19, 20, 3, 12
2019/2/7, 155, , 26, 33, 5, 14
2019/2/8, 160, , 32, 25, 7, 8
2019/2/9, 144, , 37, 32, 5, 16
2019/2/10, 165, , 41, 46, 10, 19
2019/2/11, 219, , 52, 57, 10, 34
2019/2/12, 270, , 54, 42, 7, 21
2019/2/13, 249, , 18, 35, 5, 21
2019/2/14, 216, , 28, 19, 5, 10
2019/2/15, 160, , 27, 21, 2, 10
2019/2/16, 165, , 31, 22, 2, 11
2019/2/17, 170, , 38, 31, 9, 14
2019/2/18, 167, , 28, 42, 9, 13
2019/2/19, 178, , 29, 36, 5, 21
2019/2/20, 182, , 30, 28, 5, 15
2019/2/21, 169, , 35, 20, 4, 11
2019/2/22, 158, , 35, 18, 3, 7
2019/2/23, 117, , 34, 26, 8, 11
2019/2/24, 148, , 53, 40, 9, 16
2019/2/25, 190, , 31, 20, 4, 11
2019/2/26, 128, , 30, 16, 4, 7
2019/2/27, 83, , 34, 22, 2, 11
2019/2/28, 97, , 40, 33, 7, 20
2019/3/1, 161, , 38, 35, 5, 18
2019/3/2, 183, , 24, 19, 3, 12
